method,sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,runtime
kmeans,11,80.65017772961683,14.097325011092645,0.6720848144134736,8.547999464555506,4,0.0005338191986083
kmeans,12,49.16385580361722,8.499270679799018,0.4096987983634769,5.573576703571289,4,0.0009827613830566
kmeans,13,39.05066888234198,6.81741480170834,0.3254222406861832,3.2086374940216644,4,0.0004839897155761
kmeans,14,79.84982916897943,14.51717352163882,0.6654152430748286,10.80843921845846,4,0.0004410743713378
kmeans,15,110.58192792802966,19.18384909742995,0.9215160660669138,13.534948783998663,4,0.0006577968597412
kmeans,16,104.44016343546367,18.86520020635992,0.8703346952955308,10.970561535752925,4,0.0004739761352539
kmeans,17,38.11515144157645,6.287389793652765,0.317626262013137,3.494676005794752,4,0.0006792545318603
kmeans,18,51.53223969881453,8.412243142305948,0.4294353308234544,6.841191546601231,4,0.0006525516510009
kmeans,19,34.807160956485546,5.892859382990733,0.2900596746373795,3.6595980246001374,4,0.0005311965942382
gmm,0,20.733784982393647,3.622513970580092,0.172781541519947,1.2110173251984817,4,0.0503089427947998
gmm,1,47.600612332222354,7.484288687047971,0.3966717694351863,4.678872399579799,4,0.0100948810577392
gmm,2,5.417949389935594,0.9014745090861084,0.0451495782494632,0.0757067254131619,4,0.008890151977539
gmm,3,5.536060330056835,0.9564437532595512,0.0461338360838069,0.0650832285206517,4,0.0075240135192871
gmm,4,84.50699190803388,13.946083261767203,0.7042249325669491,6.669345755586411,4,0.0223429203033447
gmm,5,5.471460027016443,0.8874810967791715,0.045595500225137,0.1227255532243106,4,0.0203356742858886
gmm,6,5.688714344613391,0.9200148157915262,0.0474059528717782,0.0841268104270218,4,0.0122935771942138
gmm,7,35.13686809031678,5.535403961109726,0.2928072340859732,1.6585219484232008,4,0.0187044143676757
gmm,8,23.57159989651725,3.775990996809924,0.1964299991376437,3.431536846777554,4,0.0183718204498291
gmm,9,6.034614131271508,0.940884530924002,0.0502884510939292,0.1080628241189476,4,0.0064294338226318
gmm,10,47.5073606323958,7.440480109802698,0.3958946719366316,5.477547237101811,4,0.0139920711517333
gmm,11,5.426885655083391,0.9485976724593445,0.0452240471256949,0.0720165852865192,4,0.0212399959564209
gmm,12,54.41881315797237,9.407728819125406,0.4534901096497697,3.6205988350752936,4,0.0097708702087402
gmm,13,48.85115486609797,8.528370852445931,0.4070929572174831,1.3161563627807362,4,0.0218079090118408
gmm,14,43.52015589836128,7.912222999604432,0.3626679658196773,4.498952559391076,4,0.0196692943572998
gmm,15,55.75540661850677,9.672496464624976,0.4646283884875564,6.009867524224547,4,0.0070204734802246
gmm,16,5.052900621081404,0.9127138325328668,0.0421075051756783,0.1102201149630434,4,0.0077912807464599
gmm,17,8.716261871540897,1.437814985831376,0.0726355155961741,0.3814437874544951,4,0.0215122699737548
gmm,18,11.093195923757872,1.810879206518074,0.0924432993646489,0.5774343196553671,4,0.0219380855560302
gmm,19,14.958716906790304,2.5325137948447534,0.1246559742232525,0.994636755184104,4,0.0079467296600341
